Borough,Station,2009,2010,2011,2012,2013,2014,∆,∆%,2014 Rank
Brooklyn,Bay Ridge Av,2505035,2483394,2538150,2522369,2525470,2597559,72089,2.90%,187
Brooklyn,Bay Ridge-95 St,1700946,1719577,1769432,1809829,1830193,1858200,28007,1.50%,252
Brooklyn,Bedford Av,6761478,7418203,7738863,8342397,9214395,9892516,678121,7.40%,32
Brooklyn,Bedford-Nostrand Avs,1876400,1895163,2012606,2138852,2348998,2513681,164683,7%,194
Brooklyn,Bergen St,1238795,1265510,1326721,1397036,1296199,1236513,-59686,-4.60%,330
Brooklyn,Bergen St,3228987,3296466,3452452,3529174,3650848,3711317,60469,1.70%,139
Brooklyn,Beverley Rd,889066,1070872,1095502,950243,737652,838970,101318,13.70%,378
Brooklyn,Beverly Rd,1219695,1231592,1276466,1274789,1364573,1360719,-3854,-0.30%,319
Brooklyn,Brighton Beach,3997205,3995043,3842789,3781554,3810743,3872092,61349,1.60%,131
Brooklyn,Broadway,1047629,941243,995856,1023397,1071877,1124407,52530,4.90%,350
Brooklyn,Broadway Junction,2846582,2767838,2810713,2862830,2948156,3018656,70500,2.40%,168
Brooklyn,Bushwick Av-Aberdeen St,365349,398834,405385,427032,490042,563577,73535,15%,403
Brooklyn,Canarsie-Rockaway Pkwy,3660047,3806903,3865823,3920243,4062690,4175970,113280,2.80%,117
Brooklyn,Carroll St,2995068,3025719,3598477,3961111,3782675,3616947,-165728,-4.40%,141
Brooklyn,Central Av,747651,760657,890194,992142,505757,970531,464774,91.90%,364
Brooklyn,Chauncey St,847239,898984,966989,964735,938803,959091,20288,2.20%,368
Brooklyn,Church Av,2872287,2994162,3057877,2987887,3059215,3020066,-39149,-1.30%,167
Brooklyn,Church Av,4966209,4654613,4665059,4982615,5603898,5482093,-121805,-2.20%,80
Brooklyn,Church Av,2908011,2968167,3271729,3081142,3193844,3201585,7741,0.20%,157
Brooklyn,Clark St,1706174,1711829,1754204,1855650,1972314,2018876,46562,2.40%,240
Brooklyn,Classon Av,1186685,1207680,1308232,1355886,1432872,1477256,44384,3.10%,309
Brooklyn,Cleveland St,951023,970732,1002848,1029708,1050261,1107397,57136,5.40%,353
Brooklyn,Clinton-Washington Avs,1559809,1707500,1819542,1891559,2104035,2077312,-26723,-1.30%,233
Brooklyn,Clinton-Washington Avs,1503550,1517296,1628558,1637463,1678004,1652336,-25668,-1.50%,285
Brooklyn,Coney Island-Stillwell Av,4378886,4768416,4649438,4733106,4690794,4980140,289346,6.20%,95
Brooklyn,Cortelyou Rd,1879021,2086918,2135444,1992781,1700177,1806758,106581,6.30%,260
Brooklyn,Court St /Borough Hall,10788326,11134599,11115037,10988473,11291705,11474717,183012,1.60%,27
Brooklyn,Crescent St,1400697,1464238,1514075,1504645,1509290,1583134,73844,4.90%,292
Brooklyn,Crown Heights-Utica Av,8330192,8498343,8438284,8469613,8534705,8690082,155377,1.80%,39
Brooklyn,Cypress Hills,427322,419062,435446,411495,432557,450480,17923,4.10%,409
Brooklyn,DeKalb Av,5014623,5079961,5122803,5222096,5223608,5288037,64429,1.20%,88
Brooklyn,DeKalb Av,3110345,3343666,3382468,3495896,3712102,3924836,212734,5.70%,127
Brooklyn,Ditmas Av,1398512,1377549,1392790,1404811,1455737,1437835,-17902,-1.20%,314
Brooklyn,East 105 St,1014253,1065469,1101683,1110433,1161688,1197125,35437,3.10%,338
Brooklyn,Eastern Pkwy-Brooklyn Museum,1557736,1590190,1568924,1578613,1674856,1665524,-9332,-0.60%,283
Brooklyn,Euclid Av,2888392,3004395,3100867,3115445,3323235,3315007,-8228,-0.20%,153
Brooklyn,Flatbush Av-Brooklyn College,5951280,6335954,6547958,6384496,6562226,6447908,-114318,-1.70%,69
Brooklyn,Flushing Av,582662,553739,616083,655317,728668,808421,79753,10.90%,381
Brooklyn,Flushing Av,2472600,2610974,2683278,2776360,2869903,2847691,-22212,-0.80%,179
Brooklyn,Fort Hamilton Pkwy,1159841,1154051,1103024,1025285,1240644,1317172,76528,6.20%,321
Brooklyn,Fort Hamilton Pkwy,1468106,1509737,1292131,1538039,1688093,1729381,41288,2.40%,273
Brooklyn,Fort Hamilton Pkwy,1994402,2045741,2086389,2105486,2200487,2278120,77633,3.50%,219
Brooklyn,Franklin Av /Botanic Garden,4302121,4433981,4712492,4934593,5125782,5377967,252185,4.90%,84
Brooklyn,Franklin Av,1608062,1768472,1904736,1982691,2049246,2125076,75830,3.70%,231
Brooklyn,Fulton St,1089757,1098862,1179034,1280063,1394890,1485669,90779,6.50%,307
Brooklyn,Gates Av,1666134,1749349,1870109,1901060,1895878,1984486,88608,4.70%,245
Brooklyn,Graham Av,2717687,3028830,3054897,3086342,3179579,3402514,222935,7%,150
Brooklyn,Grand Army Plaza,2366786,2369355,2417351,2507555,2556750,2505721,-51029,-2.00%,195
Brooklyn,Grand St,1981342,2103847,2135063,2145374,2260023,2414872,154849,6.90%,206
Brooklyn,Grant Av,1898215,1910245,1953637,1952581,1958503,2041848,83345,4.30%,238
Brooklyn,Greenpoint Av,2319327,2200679,2490286,2521422,2543568,2428027,-115541,-4.50%,204
Brooklyn,Halsey St,1632375,1730267,1805490,1800505,1845755,1968526,122771,6.70%,246
Brooklyn,Halsey St,1907900,2019248,2037729,2136529,2317512,2492974,175462,7.60%,196
Brooklyn,Hewes St,744898,785545,848377,895661,927212,903641,-23571,-2.50%,372
Brooklyn,High St,1888271,1968091,2093306,2209212,2441136,2687244,246108,10.10%,184
Brooklyn,Hoyt St,1902962,1839662,1922916,1978582,2033085,2181465,148380,7.30%,225
Brooklyn,Hoyt-Schermerhorn Sts,2862942,2923091,2968639,2990881,2971379,2961316,-10063,-0.30%,172
Brooklyn,Jay St-MetroTech,10355187,10488087,11149629,11492780,11793956,12197352,403396,3.40%,26
Brooklyn,Jefferson St,1581941,1740644,1815391,1906878,2136772,2425983,289211,13.50%,205
Brooklyn,Junius St,628879,672366,678990,660013,690625,727369,36744,5.30%,390
Brooklyn,Kings Hwy,5549765,5755515,5311662,5453084,5697467,5693562,-3905,-0.10%,76
Brooklyn,Kings Hwy,1038778,1073519,1115062,1117098,1134042,1137784,3742,0.30%,347
Brooklyn,Kings Hwy,1584172,1602420,1601357,1616827,1630749,1687226,56477,3.50%,279
Brooklyn,Kingston Av,1450448,1485344,1519113,1515277,1545567,1564089,18522,1.20%,293
Brooklyn,Kingston-Throop Avs,1501234,1571551,1659127,1703474,1834623,1887628,53005,2.90%,248
Brooklyn,Knickerbocker Av,1054258,1007087,1136213,702426,1018286,1147331,129045,12.70%,345
Brooklyn,Kosciuszko St,1324395,1401401,1468119,1482044,1515244,1521002,5758,0.40%,297
Brooklyn,Lafayette Av,1410635,1525942,1556902,1582360,1638947,1617464,-21483,-1.30%,288
Brooklyn,Liberty Av,872268,837165,817481,796044,810031,807678,-2353,-0.30%,382
Brooklyn,Livonia Av,704067,785229,829015,902860,934287,987560,53273,5.70%,363
Brooklyn,Lorimer St,1379364,1404557,1470761,1494085,1523986,1500980,-23006,-1.50%,301
Brooklyn,Lorimer St /Metropolitan Av,4273071,4394498,4479022,4643512,5040719,5090344,49625,1%,94
Brooklyn,Marcy Av,3007825,3276009,3609981,3564065,3681903,3953628,271725,7.40%,126
Brooklyn,Montrose Av,1718655,1951066,1983449,2075901,2178772,2335128,156356,7.20%,213
Brooklyn,Morgan Av,1684084,2021162,2114813,2262826,2373595,2513823,140228,5.90%,193
Brooklyn,Myrtle Av,2748162,2991967,3155344,3257338,3562631,3523740,-38891,-1.10%,144
Brooklyn,Myrtle-Willoughby Avs,1346184,1223378,1383197,1440313,1578243,1722392,144149,9.10%,274
Brooklyn,Myrtle-Wyckoff Avs,5111569,5399769,5358434,5662633,5982615,6381800,399185,6.70%,70
Brooklyn,Nassau Av,2321809,2126804,2396169,2479649,2653526,2760220,106694,4%,181
Brooklyn,Neck Rd,954832,791867,1242661,1148708,1218313,1232947,14634,1.20%,332
Brooklyn,Neptune Av,480865,516846,536991,505076,523554,512828,-10726,-2.00%,407
Brooklyn,Nevins St,3479130,3566500,3524471,3454621,3477861,3580156,102295,2.90%,142
Brooklyn,New Lots Av,1781691,1885350,1954353,1857630,1975478,2038532,63054,3.20%,239
Brooklyn,New Lots Av,1138348,1231257,1304384,1379065,1499902,1583983,84081,5.60%,291
Brooklyn,New Utrecht Av /62 St,1645572,1692800,1768935,1931306,1654945,1716638,61693,3.70%,277
Brooklyn,Newkirk Av,2298052,2347178,2352060,2279365,2393978,2431300,37322,1.60%,203
Brooklyn,Newkirk Plaza,2842893,2867372,2999870,3021079,3380559,3302958,-77601,-2.30%,155
Brooklyn,Norwood Av,1041356,1056263,1065062,1097011,1095573,1145643,50070,4.60%,346
Brooklyn,Nostrand Av,1200968,1290482,1324424,1313227,1327377,1358826,31449,2.40%,320
Brooklyn,Nostrand Av,4676059,4863842,5139201,5283444,5510841,5439806,-71035,-1.30%,82
Brooklyn,Ocean Pkwy,973380,1057060,1033582,983972,990091,969271,-20820,-2.10%,365
Brooklyn,Park Pl,715532,710863,707253,682438,646934,608731,-38203,-5.90%,400
Brooklyn,Parkside Av,1777758,2050518,2098007,1812362,1381093,1617878,236785,17.10%,287
Brooklyn,Pennsylvania Av,1786525,1805195,1805956,1690851,1752108,1746438,-5670,-0.30%,269
Brooklyn,President St,1044562,1130601,1133831,1142008,1216019,1221048,5029,0.40%,334
Brooklyn,Prospect Av,1860934,1863247,1930101,1864725,1826064,1827271,1207,0.10%,257
Brooklyn,Prospect Park,2955204,2867309,2815199,2892200,3190679,3312727,122048,3.80%,154
Brooklyn,Ralph Av,1450900,1529747,1585546,1625548,1719602,1787157,67555,3.90%,264
Brooklyn,Rockaway Av,1758538,1787382,1792136,1682755,1753354,1763824,10470,0.60%,267
